student_id,name,category,city,marks,attendance_status,attempt_number,exam_date
1,Rakesh_1,General,Delhi,0,Absent,1,08-01-2026
2,Neha_2,General,Mumbai,76,Present,3,09-01-2026
3,Ritu_3,General,Delhi,75,Present,1,03-01-2026
4,Neha_4,OBC,Bhopal,85,Present,3,02-02-2026
5,Vikas_5,General,Lucknow,0,Absent,1,15-02-2026
6,Nitin_6,General,Hyderabad,65,Present,1,07-02-2026
7,Kunal_7,General,Pune,0,Absent,1,28-01-2026
8,Vikas_8,General,Pune,84,Present,1,18-02-2026
9,Suresh_9,OBC,Pune,0,Absent,3,07-01-2026
10,Arjun_10,General,Delhi,0,Absent,3,21-02-2026
11,Pooja_11,OBC,Kolkata,63,Present,3,01-03-2026
12,Kiran_12,OBC,Bhopal,0,Absent,3,23-02-2026
13,Vikas_13,OBC,Mumbai,73,Present,3,15-02-2026
14,Neha_14,General,Hyderabad,65,Present,1,19-02-2026
15,Meera_15,General,Kolkata,0,Absent,2,07-01-2026
16,Rakesh_16,General,Pune,84,Present,2,23-02-2026
17,Divya_17,OBC,Hyderabad,58,Present,3,14-01-2026
18,Rakesh_18,OBC,Lucknow,69,Present,1,11-01-2026
19,Nitin_19,General,Hyderabad,69,Present,3,25-01-2026
20,Manish_20,OBC,Delhi,77,Present,1,23-02-2026
84,Manish_84,General,Bangalore,0,Absent,1,19-02-2026
101,Arjun_101,SC,Mumbai,0,Absent,2,03-01-2026
131,Amit_131,General,Kolkata,45,Present,3,15-01-2026
152,Priya_152,SC,Kolkata,0,Absent,3,28-02-2026
306,Arjun_306,General,Bangalore,0,Absent,1,24-01-2026
340,Neha_340,OBC,Bhopal,0,Absent,3,28-01-2026
347,Komal_347,OBC,Bhopal,0,Absent,3,30-01-2026
367,Kunal_367,General,Mumbai,0,Absent,3,02-03-2026
397,Anita_397,General,Kolkata,0,Absent,1,16-01-2026
461,Nitin_461,EWS,Delhi,44,Present,2,05-01-2026
473,Pradeep_473,General,Delhi,88,Present,2,23-01-2026
549,Rahul_549,General,Hyderabad,79,Present,3,26-01-2026
566,Vikas_566,OBC,Delhi,90,Present,3,18-02-2026
569,Tarun_569,OBC,Lucknow,84,Present,2,10-01-2026
612,Rakesh_612,OBC,Bangalore,46,Present,2,01-01-2026
675,Arjun_675,OBC,Mumbai,48,Present,3,18-02-2026
717,Rakesh_717,General,Jaipur,61,Present,1,20-02-2026
729,Rohit_729,General,Mumbai,43,Present,2,16-02-2026
797,Simran_797,General,Chennai,75,Present,2,05-02-2026
798,Pooja_798,SC,Bangalore,75,Present,1,21-02-2026
799,Anita_799,EWS,Chennai,82,Present,1,23-02-2026
800,Sahil_800,OBC,Pune,61,Present,3,26-01-2026
801,Pradeep_801,SC,Mumbai,83,Present,1,17-01-2026
802,Vikas_802,OBC,Jaipur,81,Present,1,27-02-2026
803,Tarun_803,General,Pune,76,Present,1,24-02-2026
804,Nitin_804,EWS,Bangalore,0,Absent,3,04-01-2026
805,Suresh_805,General,Delhi,0,Absent,3,01-02-2026
806,Ritu_806,OBC,Pune,70,Present,1,12-01-2026
